GKSL,WKL,GKSL_encoded,WKL_encoded
설명 없다 심심하다,할 설명이 없어서 심심하다,"[2, 2773, 3273, 3060, 6745, 7798, 3]","[2, 4977, 2773, 7096, 3278, 6553, 3060, 6745, 7798, 3]"
숨다 성질 불량 잘 안되다 ?,음성 인식이 안되나요?,"[2, 2919, 5782, 2781, 7350, 2485, 6035, 3942, 3135, 5886, 5782, 633, 3]","[2, 3608, 3781, 7096, 3135, 5886, 5655, 6999, 258, 3]"
비행기 비행기 안 가지다 가능 ?,비행기를 기내에 가져갈 수 있나요?,"[2, 2545, 2545, 3135, 767, 5782, 737, 633, 3]","[2, 2545, 6116, 1258, 5678, 6896, 763, 5340, 2872, 3854, 5655, 6999, 258, 3]"
아버지 동생 심부름 시키다 시장 보내다,아버지가 동생을 시장에 심부름을 보냈다,"[2, 3112, 1750, 3060, 6398, 6117, 517, 6722, 5782, 2991, 2363, 5782, 3]","[2, 3112, 5330, 1750, 7088, 2992, 3060, 6398, 6117, 7088, 2365, 3]"
여기 할머니 돌아가다 슬프다,여기는 할머니의 죽음이 한없이 슬펐다,"[2, 3301, 4979, 1735, 5782, 2948, 7753, 5782, 3]","[2, 3301, 5760, 4979, 7095, 4245, 7096, 4955, 6883, 2948, 0, 5782, 3]"
공장 여러 가지 저기 가다,산업 단지 안으로 가주세요.,"[2, 1051, 3304, 767, 3990, 5561, 517, 5330, 5782, 3]","[2, 2641, 1593, 3135, 7078, 517, 5330, 7282, 54, 3]"
비행기 안 담배 비행기 가지다 가능 ?,비행기를 기내에 가져갈 수 있나요?,"[2, 2545, 3135, 1611, 2545, 767, 5782, 737, 633, 3]","[2, 2545, 6116, 1258, 5678, 6896, 763, 5340, 2872, 3854, 5655, 6999, 258, 3]"
보물 어디 곳 ?,보물은 어디에 있습니까?,"[2, 2355, 6241, 3223, 1021, 633, 3]","[2, 2355, 6241, 7086, 3223, 6896, 3854, 6700, 258, 3]"
돈주다 거짓 죽다 ?,가사인가요?,"[2, 1730, 7276, 5782, 862, 7356, 4244, 5782, 633, 3]","[2, 517, 5330, 6493, 7119, 5330, 6999, 258, 3]"
일 많다 여기 저기 불가능,이 많은 일을 여기저기서 맡는건 불가능해,"[2, 3803, 1951, 3301, 3990, 5561, 2486, 3]","[2, 3647, 1955, 3817, 3301, 7199, 5561, 6553, 1980, 5760, 5384, 2486, 7848, 3]"
도깨비 깊다 지하 차내리다 오케이 ?,지옥에서 내려드릴까요?,"[2, 517, 5859, 5602, 6441, 517, 5590, 5782, 4346, 4402, 5678, 6122, 5782, 3417, 7525, 633, 3]","[2, 4297, 6970, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
돈 표현 잘못하다,표현을 잘못하였습니다.,"[2, 1730, 4885, 3943, 7798, 3]","[2, 4885, 7088, 3943, 7782, 6948, 54, 3]"
조금 춥다 나오다 하지마 집 계시다,조금은 추우니 나오지 말고 집에 있어,"[2, 4164, 517, 7470, 5782, 1388, 5782, 4945, 6141, 4384, 980, 6705, 5782, 3]","[2, 4164, 7086, 4541, 7005, 5770, 1388, 7318, 1958, 5439, 4384, 6896, 3868, 3]"
컴퓨터 찾다 실종,컴퓨터를 분실하였습니다.,"[2, 4660, 517, 7404, 5782, 3051, 3]","[2, 4660, 6116, 2468, 6738, 7782, 6948, 54, 3]"
아이 키우다 했었다 소 팔다 학교 아들 보내다,아이는 키우던 소를 팔아 아들을 학교에 보냈다,"[2, 3121, 4695, 5782, 517, 7875, 2822, 4814, 5782, 4949, 3107, 2363, 5782, 3]","[2, 3121, 5760, 4695, 5842, 2822, 6116, 4814, 6797, 3107, 7088, 4949, 6896, 2365, 3]"
아내 생일 잊다,아내의 생일을 잊었다,"[2, 3096, 2704, 7126, 517, 7145, 5782, 3]","[2, 3096, 7095, 2704, 7126, 7088, 517, 7145, 6888, 3]"
공항 방문 손님 위하다 서비스 드리다,공항을 이용하시는 손님들을 위한 서비스를 제공하고 있습니다.,"[2, 1055, 2268, 2861, 3552, 7798, 2724, 517, 5924, 5782, 3]","[2, 1055, 7088, 3726, 7782, 6705, 5760, 2861, 5938, 3566, 2725, 4131, 3867, 54, 3]"
집 여러 가지 항공 가깝다 곳 ?,공항 주변에 건물은 어디있나요?,"[2, 4384, 3304, 767, 4993, 517, 5330, 5599, 5782, 1021, 633, 3]","[2, 1055, 4229, 6896, 884, 7086, 3223, 7141, 5655, 6999, 258, 3]"
마귀 방법 끄다 ?,마법을 꺼드릴까요?,"[2, 1907, 5529, 2270, 517, 5640, 5782, 633, 3]","[2, 1907, 6337, 1344, 5920, 6135, 5591, 6999, 258, 3]"
물 울다 깨끗하다,눈물이 정말 맑다,"[2, 2135, 3524, 5782, 1343, 7798, 3]","[2, 1537, 7096, 4102, 517, 6161, 5782, 3]"
할아버지 매일 4 매일 일어나다,할아버지는 매일 매일 4시에 일어나신다,"[2, 4977, 6798, 1996, 605, 1996, 3813, 5782, 3]","[2, 4977, 6798, 5760, 1996, 1996, 605, 6705, 6896, 3813, 6733, 5782, 3]"
카페 그 곳 ?,커피숍은 저기에 있습니까?,"[2, 4641, 1185, 1021, 633, 3]","[2, 4656, 6627, 7086, 3990, 5579, 3854, 6700, 258, 3]"
쌍둥이 낳다 그렇다면 고생 고생 더 2배,쌍둥이를 낳으면 고생과 고생은 두배이다,"[2, 517, 6759, 5913, 7096, 1433, 5782, 1185, 6049, 5784, 993, 6542, 993, 6542, 1698, 553, 6312, 3]","[2, 517, 6759, 5913, 7096, 6116, 1433, 7083, 993, 6542, 5468, 993, 6542, 7086, 1773, 6312, 7100, 3]"
응답 없다,응답이 없습니다.,"[2, 3614, 3273, 3]","[2, 3614, 7096, 3270, 6701, 54, 3]"
상처 보다 미안,상처 보았다면 미안해,"[2, 2679, 2368, 2149, 6812, 3]","[2, 2679, 2355, 6828, 6198, 2149, 6812, 7848, 3]"
빛 우산 몇분 ?,양산 역까지 몇 분 걸리나요?,"[2, 2553, 3498, 6516, 2043, 6416, 633, 3]","[2, 3214, 6516, 3322, 5592, 2043, 2468, 889, 6122, 5655, 6999, 258, 3]"
택시 어느 곳 되다 ?,어디서 택시를 탈 수 있나요?,"[2, 4727, 3222, 1021, 1763, 5782, 633, 3]","[2, 3223, 6553, 4727, 6116, 4711, 2872, 3854, 5655, 6999, 258, 3]"
죽다 미안,죽어서 미안해,"[2, 4244, 5782, 2149, 6812, 3]","[2, 4244, 6855, 6553, 2149, 6812, 7848, 3]"
북 부 전 곳 보다 내리다,북부정류장 못가서 내려주세요.,"[2, 2462, 2423, 4012, 1021, 2368, 1444, 5782, 3]","[2, 517, 6414, 7227, 6107, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
저기 노리다 하지마 위험,"위험해, 노리지마","[2, 3990, 5561, 1476, 6122, 5782, 4945, 6141, 3571, 3]","[2, 3571, 7848, 46, 1476, 6131, 6141, 3]"
맞다 일 춥다 나오다 하지마 집 계시다,사실은 추우니 나오지 말고 집에 있어,"[2, 1970, 5782, 3803, 517, 7470, 5782, 1388, 5782, 4945, 6141, 4384, 980, 6705, 5782, 3]","[2, 2604, 7086, 4541, 7005, 5770, 1388, 7318, 1958, 5439, 4384, 6896, 3868, 3]"
요즘 오빠 매일 아침 교육 하다,요즘 오빠는 매일 아침 교육을 한다,"[2, 3489, 3429, 1996, 3130, 1109, 4932, 3]","[2, 3489, 3429, 5760, 1996, 3130, 1109, 7088, 4965, 3]"
지하철 반대 건너다 들어오다,반대편 승차장으로 들어오려고 합니다.,"[2, 4347, 2208, 881, 5691, 5782, 1810, 5782, 3]","[2, 2208, 7720, 2949, 7389, 7185, 1810, 6061, 4986, 54, 3]"
배 차내리다 오케이 ?,배에서 내려드릴까요?,"[2, 2287, 4402, 5678, 6122, 5782, 3417, 7525, 633, 3]","[2, 2287, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
점 있다 말하다 해보다,무슨 점 있어 말해봐,"[2, 4074, 3862, 1958, 7798, 4998, 6371, 3]","[2, 2110, 4074, 3868, 1965, 6393, 3]"
나 밤 오빠 만나다 기쁘다,나는 밤에 오빠를 만나서 기뻤다,"[2, 1370, 2265, 3429, 1933, 5782, 1258, 6488, 5782, 3]","[2, 1375, 2265, 6896, 3429, 6116, 1933, 6553, 1258, 6475, 5782, 3]"
등 몸 끼다,등에 몸이 끼었어요.,"[2, 1815, 2084, 1369, 5782, 3]","[2, 1820, 2084, 7096, 1369, 6885, 6857, 54, 3]"
거짓 죽다 쉽다,가사가 쉬웠어요,"[2, 862, 7356, 4244, 5782, 517, 6657, 5782, 3]","[2, 517, 5330, 6494, 2923, 7036, 6857, 3]"
애 잔소리 때문에 기분 별로,애가 잔소리해서 기분이 별로야,"[2, 3194, 3941, 6609, 1849, 1282, 517, 6357, 3]","[2, 3194, 5330, 3941, 6609, 7850, 1282, 7096, 517, 6357, 6844, 3]"
아시아 항공 표 여기 곳 ?,아시아나항공 카운터는 여기에 있습니까?,"[2, 3116, 4993, 4880, 3301, 1021, 633, 3]","[2, 3118, 4635, 7010, 7609, 5760, 3302, 3854, 6700, 258, 3]"
빛 실종 잃어버리다,빛을 잃어버렸습니다.,"[2, 2553, 3051, 517, 7135, 6855, 6324, 5782, 3]","[2, 2553, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
중앙 전 곳 저기 내리다,중앙정류장 못가서 내려주세요.,"[2, 4269, 4012, 1021, 3990, 5561, 1444, 5782, 3]","[2, 4269, 7227, 6107, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
좌회전 확인 접다 ?,좌회전 접으시죠?,"[2, 4211, 7953, 7207, 5130, 4086, 5782, 633, 3]","[2, 4211, 7953, 7207, 4086, 7074, 6705, 7275, 258, 3]"
나 옆 살다 -중,나는 옆에 살고 있어,"[2, 1370, 3395, 2643, 5782, 524, 7295, 3]","[2, 1375, 3395, 6896, 2643, 5439, 3868, 3]"
길 저기 곳 다음 차내리다 ?,길 지나서 내려드릴까요?,"[2, 1315, 3990, 5561, 1021, 1577, 4402, 5678, 6122, 5782, 633, 3]","[2, 1315, 4303, 6553, 1442, 5920, 6135, 5591, 6999, 258, 3]"
뒤 계시다 누구,뒤에 누구 계셔,"[2, 1783, 980, 6705, 5782, 1528, 3]","[2, 1783, 6896, 1528, 980, 6601, 3]"
누나 동생 시장 시키다 시장 보내다,누나가 동생을 시장에 시장을 보냈다,"[2, 1526, 5655, 1750, 2991, 517, 6722, 5782, 2991, 2363, 5782, 3]","[2, 1526, 5655, 5330, 1750, 7088, 2992, 2991, 7088, 2365, 3]"
생각 사라지다 도착 가다 ?,의외로 갈까요?,"[2, 2705, 2583, 5782, 1723, 517, 5330, 5782, 633, 3]","[2, 517, 7095, 6995, 6079, 781, 5591, 6999, 258, 3]"
콩 먹다 가다,콩나고 밥 먹으러 가자,"[2, 517, 7546, 2010, 5782, 517, 5330, 5782, 3]","[2, 517, 7546, 5655, 5439, 2266, 2010, 7074, 6037, 517, 5330, 7147, 3]"
물건 관련 곳 ?,물건을 관련해서 붙이고 싶은데 어디서 하나요?,"[2, 2137, 1083, 1021, 633, 3]","[2, 2137, 7088, 1087, 6553, 2503, 7096, 5439, 3075, 5850, 3223, 6553, 4928, 6999, 258, 3]"
생명 몸 고장 잘 안되다 ?,생체 인식이 안되나요?,"[2, 2712, 2084, 993, 7178, 3942, 3135, 5886, 5782, 633, 3]","[2, 2704, 7436, 3781, 7096, 3135, 5886, 5655, 6999, 258, 3]"
학생 남 돌보다 모습 어른 같다,그 학생은 조숙해서 남을 돌보는 품이 어른같다,"[2, 4952, 1409, 1732, 6371, 2056, 3220, 6115, 831, 3]","[2, 1185, 4952, 7086, 4162, 6642, 7850, 1409, 7088, 1732, 6369, 4891, 7096, 3220, 6115, 5354, 5782, 3]"
준비 사용 안되다 ?,준비가 안되나요?,"[2, 4249, 2613, 3135, 5886, 5782, 633, 3]","[2, 4249, 5330, 3135, 5886, 5655, 6999, 258, 3]"
무덤 장소 목적,묘지로 가주세요.,"[2, 2095, 5845, 3962, 2076, 3]","[2, 2094, 7318, 6079, 517, 5330, 7282, 54, 3]"
핸드폰 정보 필요 ?,휴대폰 정보를 알려드릴까요?,"[2, 517, 7861, 7736, 4103, 4919, 633, 3]","[2, 5194, 4104, 3169, 5920, 6135, 5591, 6999, 258, 3]"
물건 잃어버리다 검사 두다 곳 이것 곳 ?,유실물 센터는 이곳에 있습니까?,"[2, 2137, 517, 7135, 6855, 6324, 5782, 897, 1773, 5782, 1021, 3650, 1021, 633, 3]","[2, 3574, 6738, 6241, 517, 6593, 5760, 3651, 6896, 3854, 6700, 258, 3]"
차 곳 다음 여기,차서 지나서 내려주세요.,"[2, 4402, 1021, 1577, 3301, 3]","[2, 4402, 6553, 4303, 6553, 1442, 7282, 54, 3]"
주차 1번 그 곳 ?,제1 주차장은 저기에 있습니까?,"[2, 4213, 7389, 529, 6328, 1185, 1021, 633, 3]","[2, 4128, 93, 4213, 7389, 7186, 3990, 5579, 3854, 6700, 258, 3]"
항공 잠 여기 ?,공항 내 수면실이 여기에 있나요?,"[2, 4993, 3945, 3301, 633, 3]","[2, 1055, 1434, 2872, 6198, 6738, 7096, 3302, 3854, 5655, 6999, 258, 3]"
자신 잃어버리다 ?,자신을 잃어버리셨나요?,"[2, 3909, 517, 7135, 6855, 6324, 5782, 633, 3]","[2, 3912, 517, 7135, 6855, 6324, 6604, 5655, 6999, 258, 3]"
여기 보다 맞다 ?,여기서 보는 것이 맞나요?,"[2, 3301, 2368, 1970, 5782, 633, 3]","[2, 3301, 6553, 2366, 912, 1970, 5655, 6999, 258, 3]"
방 너무 넓다 혼자 나중 무섭다,방이 혼자 쓰기에 너무 넓어서 나중에는 무섭다,"[2, 2267, 1458, 1459, 5782, 5102, 1370, 7295, 2095, 6570, 5782, 3]","[2, 2267, 7096, 5102, 3084, 5579, 1458, 1459, 6855, 6553, 1398, 5760, 2095, 6570, 5782, 3]"
반지 구하다 원구하다 돈 얼마,반지를 구하고 싶은데 가격이 얼마나 되나요,"[2, 2207, 7318, 1115, 7798, 3533, 5495, 7798, 1730, 3252, 3]","[2, 2207, 7329, 1115, 7788, 3075, 5850, 730, 3253, 1763, 5655, 6999, 3]"
몸 붓다 귀엽다,몸에 살이 오르니 귀여워 보인다,"[2, 2084, 517, 6427, 5782, 1177, 5782, 3]","[2, 2084, 6896, 2643, 7096, 3425, 5770, 1174, 6916, 7018, 2392, 3]"
활동 시간 저녁 9시 정도,활동시간은 오후 9시가 되겠습니다,"[2, 5141, 2962, 3991, 627, 6705, 4099, 3]","[2, 5141, 6706, 7086, 3434, 627, 6705, 5330, 1763, 5409, 3]"
지갑 사라지다 실종,지갑을 분실하였습니다.,"[2, 4297, 5345, 2583, 5782, 3051, 3]","[2, 4297, 5345, 7088, 2468, 6738, 7782, 6948, 54, 3]"
은행 어느 시간 곳 ?,은행은 언제에 있습니까?,"[2, 3605, 3222, 2962, 1021, 633, 3]","[2, 3605, 7086, 3245, 6896, 3854, 6700, 258, 3]"
시험 시험 문제 만들다 기쁘다 불면증,시험에 출제된 것이 기뻐서 잠이 오지 않는다,"[2, 3005, 3005, 2125, 1940, 5782, 1258, 6488, 5782, 2485, 6198, 7316, 3]","[2, 3005, 6896, 4568, 7234, 5899, 912, 1258, 6471, 6553, 3945, 7096, 3417, 7318, 3152, 3]"
짐 무게 초과 등록 돈주다 곳 어디 ?,수하물 등록요금은 어디서 내나요?,"[2, 4383, 2096, 4502, 1818, 1730, 7276, 5782, 1021, 3223, 633, 3]","[2, 2872, 7782, 6241, 1818, 7000, 7086, 3223, 6553, 1434, 5655, 6999, 258, 3]"
이나 번호 ?,몇 번 이나인가요?,"[2, 517, 7098, 517, 6330, 633, 3]","[2, 2043, 2307, 517, 7098, 7119, 5330, 6999, 258, 3]"
남자 자기 몸 자연히 불편하다 생각 아마,그는 자기를 불편하게 생각하는거 같았어,"[2, 1423, 3890, 2084, 3916, 7996, 2499, 7798, 2705, 3093, 6141, 3]","[2, 1191, 3890, 6116, 2499, 7784, 2705, 7794, 5377, 830, 6827, 6855, 3]"
세금 공짜 인터넷 신고 받아오다 그 곳 ?,면세품 인도장은 저기에 있습니까?,"[2, 2804, 1023, 7361, 3794, 3012, 2226, 6964, 5782, 1185, 1021, 633, 3]","[2, 2029, 6579, 7748, 3765, 7186, 3990, 5579, 3854, 6700, 258, 3]"
애인 버리다 위하다 명동 가다,애인을 버리러 명동에 갔다,"[2, 3194, 7119, 517, 6324, 5782, 3552, 7798, 2034, 5872, 517, 5330, 5782, 3]","[2, 3194, 7119, 7088, 517, 6324, 6037, 2034, 5872, 6896, 517, 5349, 3]"
화장실 곳 여기 ?,화장실은 여기에 있습니까?,"[2, 5118, 1021, 3301, 633, 3]","[2, 5118, 7086, 3302, 3854, 6700, 258, 3]"
참고 저기 곳,참고로 들어가주세요.,"[2, 4430, 3990, 5561, 1021, 3]","[2, 4430, 6079, 1805, 7282, 54, 3]"
닭 마시다 원하다,치킨 마시고 싶어,"[2, 517, 5796, 1907, 6705, 5782, 3533, 7798, 3]","[2, 4617, 7576, 1907, 6705, 5439, 3073, 3]"
인간 지키다 필요,인간을 지켜야 한다,"[2, 3759, 4344, 5782, 4919, 3]","[2, 3759, 7088, 4342, 6844, 4965, 3]"
사람 없다 심심하다,할 사람이 없어서 심심하다,"[2, 2584, 3273, 3060, 6745, 7798, 3]","[2, 4977, 2589, 3278, 6553, 3060, 6745, 7798, 3]"
어린이집 일 되다 ?,어린이집에 일할 수 있나요?,"[2, 3235, 3803, 1763, 5782, 633, 3]","[2, 3235, 6896, 3803, 7836, 2872, 3854, 5655, 6999, 258, 3]"
은행 여기 ?,은행은 여기에 있습니까?,"[2, 3605, 3301, 633, 3]","[2, 3605, 7086, 3302, 3854, 6700, 258, 3]"
서울 찾다 무엇 ?,서울로 가려면 어떻게 가나요?,"[2, 2726, 517, 7404, 5782, 2095, 6884, 633, 3]","[2, 2726, 6079, 747, 6198, 3225, 517, 5330, 5655, 6999, 258, 3]"
사슴 가다 빠르다,사슴이 가면 빠르다,"[2, 2573, 6698, 517, 5330, 5782, 2554, 6113, 5782, 3]","[2, 2573, 6698, 7096, 517, 5330, 6198, 2554, 6113, 5782, 3]"
조금 저기 다음 도착 내리다,조금 지나서 내려주세요.,"[2, 4164, 3990, 5561, 1577, 1723, 1444, 5782, 3]","[2, 4164, 4303, 6553, 1442, 7282, 54, 3]"
교통카드 거래 해결,교통카드 결제해주세요.,"[2, 1112, 7496, 867, 4999, 3]","[2, 1112, 7496, 947, 7848, 7282, 54, 3]"
피부 몸 나쁘다,피부는 건강에 나쁘다,"[2, 4910, 2084, 1370, 6488, 5782, 3]","[2, 4910, 5760, 882, 6896, 1370, 6488, 5782, 3]"
도움 고장 안되다,도움이 안되네요.,"[2, 1717, 993, 7178, 3135, 5886, 5782, 3]","[2, 1719, 3135, 5886, 5703, 54, 3]"
마귀 방법춥마귀 방법다마귀 방법 마귀 방법끄마귀 방법다마귀 방법 ?,마법을 꺼드릴까요?,"[2, 1907, 5529, 2270, 7470, 6141, 5529, 2270, 5782, 6141, 5529, 2270, 1907, 5529, 2270, 5640, 6141, 5529, 2270, 5782, 6141, 5529, 2270, 633, 3]","[2, 1907, 6337, 1344, 5920, 6135, 5591, 6999, 258, 3]"
반 안 일등 당하다,반에서 일등을 당하다,"[2, 2207, 3135, 3803, 5944, 1618, 7798, 3]","[2, 2207, 6903, 3803, 5944, 7088, 1618, 7798, 3]"
지하철 어느 시간 곳 ?,지하철 승강장은 언제에 있습니까?,"[2, 4347, 3222, 2962, 1021, 633, 3]","[2, 4347, 2949, 5350, 7186, 3245, 6896, 3854, 6700, 258, 3]"
은행 집 얼마 얼마 받다,계좌주소 알려주세요,"[2, 3605, 4384, 3252, 3252, 2220, 5782, 3]","[2, 989, 7276, 6607, 3169, 7282, 3]"
수류탄 여러 가지 단말기터치 다시,무기를 다시 대세요.,"[2, 2872, 6107, 7590, 3304, 767, 1589, 7609, 7483, 1574, 3]","[2, 2097, 6116, 1574, 1633, 6586, 54, 3]"
맞다 답 맞다,정답이 맞습니다.,"[2, 1970, 5782, 1615, 1970, 5782, 3]","[2, 4092, 5801, 7096, 1970, 6701, 54, 3]"
개 새끼 키우다,강아지를 키우다,"[2, 835, 2695, 5649, 4695, 5782, 3]","[2, 807, 6797, 7329, 4695, 5782, 3]"
어디 연기 소문 느끼다,어디선가 연기가 나요. 소문이 나고 있는 것 같아요.,"[2, 3223, 3341, 2822, 6234, 1546, 5782, 3]","[2, 3223, 6559, 5330, 3341, 5330, 1370, 6999, 54, 2822, 6234, 7096, 1370, 5439, 3860, 905, 832, 6999, 54, 3]"
몸 안 가다 ?,몸 안으로 들어갈까요?,"[2, 2084, 3135, 517, 5330, 5782, 633, 3]","[2, 2084, 3135, 7078, 1807, 5591, 6999, 258, 3]"
반지 만들다 원만들다 돈 얼마,반지를 만들고 싶은데 가격이 얼마나 되나요,"[2, 2207, 7318, 1940, 5782, 3533, 6150, 5931, 5782, 1730, 3252, 3]","[2, 2207, 7329, 1941, 3075, 5850, 730, 3253, 1763, 5655, 6999, 3]"
준비 쉽다,준비가 쉬웠어요,"[2, 4249, 517, 6657, 5782, 3]","[2, 4249, 5330, 2923, 7036, 6857, 3]"
천지 모두 도착,우주로 가주세요.,"[2, 4471, 7318, 2047, 1723, 3]","[2, 3511, 6079, 517, 5330, 7282, 54, 3]"
사랑 부족,사랑이 부족해,"[2, 2590, 2451, 3]","[2, 2590, 7096, 2451, 7848, 3]"
닭 만들다 원하다,치킨 만들고 싶어,"[2, 517, 5796, 1940, 5782, 3533, 7798, 3]","[2, 4617, 7576, 1941, 3073, 3]"
멀다 오다 벌써 나가다 ?,먼 길을 왔는데 그렇게 빨리 나가려고?,"[2, 517, 6186, 5782, 3417, 5782, 2311, 1371, 5782, 633, 3]","[2, 517, 6184, 1315, 7088, 517, 6989, 5761, 1204, 2563, 1371, 6061, 258, 3]"
물건 포장 곳 어느 시간 ?,물건을 포장해서 붙이고 싶은데 언제서 하나요?,"[2, 2137, 4856, 7178, 1021, 3222, 2962, 633, 3]","[2, 2137, 7088, 4856, 7178, 7850, 2503, 7096, 5439, 3075, 5850, 3245, 6553, 4928, 6999, 258, 3]"
돈 잃어버리다 보다 중에,돈을 잃어버려서 보고 있어,"[2, 1730, 517, 7135, 6855, 6324, 5782, 2368, 4257, 6896, 3]","[2, 1731, 517, 7135, 6855, 6323, 6060, 6553, 2358, 3868, 3]"
사슴 쓰다 빠르다,사슴이 쓰면 빠르다,"[2, 2573, 6698, 3084, 5782, 2554, 6113, 5782, 3]","[2, 2573, 6698, 7096, 3084, 6198, 2554, 6113, 5782, 3]"
은행 정보 받다,계좌정보 알려주세요,"[2, 3605, 4103, 2220, 5782, 3]","[2, 989, 7229, 3169, 7282, 3]"
한국 항공 표 곳 여기 ?,대한항공 카운터는 여기에 있습니까?,"[2, 4958, 4993, 4880, 1021, 3301, 633, 3]","[2, 1684, 4635, 7010, 7609, 5760, 3302, 3854, 6700, 258, 3]"
지구 목적 가다 길 방법 ?,지구로 가려면 어떻게 가나요?,"[2, 4298, 2076, 517, 5330, 5782, 1315, 2270, 633, 3]","[2, 4298, 6079, 747, 6198, 3225, 517, 5330, 5655, 6999, 258, 3]"
소리 무엇,무슨 소리해,"[2, 2829, 2095, 6884, 3]","[2, 2110, 2829, 7848, 3]"
물건 생각 곳 어디 ?,물건을 생각해서 붙이고 싶은데 어디서 하나요?,"[2, 2137, 2705, 1021, 3223, 633, 3]","[2, 2137, 7088, 2709, 6553, 2503, 7096, 5439, 3075, 5850, 3223, 6553, 4928, 6999, 258, 3]"
너 대하여 소문 무엇 궁금하다,너에 대한 소문이 궁금하다,"[2, 1457, 1633, 7815, 2822, 6234, 2095, 6884, 1169, 7798, 3]","[2, 1457, 6896, 1682, 2822, 6234, 7096, 1169, 7798, 3]"
요즘 오빠 매일 아침 인사 하다,요즘 오빠는 매일 아침 인사을 한다,"[2, 3489, 3429, 1996, 3130, 3769, 4932, 3]","[2, 3489, 3429, 5760, 1996, 3130, 3769, 7088, 4965, 3]"
공중 차내리다 ?,공중에서 내려드릴까요?,"[2, 1023, 7295, 4402, 5678, 6122, 5782, 633, 3]","[2, 1023, 7295, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
인터넷 방문 농인 위하다 서비스 드리다,인터넷을 이용하시는 농인들을 위한 서비스를 제공하고 있습니다.,"[2, 3794, 2268, 1507, 7119, 3552, 7798, 2724, 517, 5924, 5782, 3]","[2, 3794, 7088, 3726, 7782, 6705, 5760, 1507, 7119, 5938, 3566, 2725, 4131, 3867, 54, 3]"
택시 곳 전 보다 도착 내리다,택시정류장 못가서 내려주세요.,"[2, 4727, 1021, 4012, 2368, 1723, 1444, 5782, 3]","[2, 4727, 7227, 6107, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
방송춥방송다방송 방송켜방송다방송,방송 좀 켜주세요.,"[2, 2272, 7470, 6306, 5782, 6306, 2272, 7530, 6306, 5782, 6306, 3]","[2, 2272, 4196, 517, 7530, 7282, 54, 3]"
자판기 여기 길 ?,자판기는 여기에 있나요?,"[2, 3886, 7688, 5561, 3301, 1315, 633, 3]","[2, 3886, 7688, 5568, 3302, 3854, 5655, 6999, 258, 3]"
나 얼굴 모습 무섭다,나는 표정이 무섭다,"[2, 1370, 3251, 2056, 2095, 6570, 5782, 3]","[2, 1375, 4883, 7096, 2095, 6570, 5782, 3]"
감사 침 전하다 위하다 편지 쓰다,고마운 침을 담아 편지를 준비했다,"[2, 793, 4630, 4012, 7798, 3552, 7798, 4832, 7318, 3084, 5782, 3]","[2, 993, 6141, 7010, 4630, 7088, 1613, 4832, 7329, 4249, 7869, 3]"
북 부 곳 다음 차내리다 ?,북부정류장 지나서 내려드릴까요?,"[2, 2462, 2423, 1021, 1577, 4402, 5678, 6122, 5782, 633, 3]","[2, 517, 6414, 7227, 6107, 7178, 4303, 6553, 1442, 5920, 6135, 5591, 6999, 258, 3]"
쉬다 곳 주차 되다 ?,휴게소에 주차할 수 있나요?,"[2, 2923, 5782, 1021, 4213, 7389, 1763, 5782, 633, 3]","[2, 5191, 5400, 6607, 6896, 4213, 7389, 7836, 2872, 3854, 5655, 6999, 258, 3]"
저기 만들다 하지마 위험,"위험해, 만들지마","[2, 3990, 5561, 1940, 5782, 4945, 6141, 3571, 3]","[2, 3571, 7848, 46, 1940, 7318, 6141, 3]"
쪽 가다 내리다 ?,김포쪽으로 갈까요?,"[2, 4398, 517, 5330, 5782, 1444, 5782, 633, 3]","[2, 1316, 7728, 7376, 7078, 781, 5591, 6999, 258, 3]"
벌 달다 취하다 나무 막대 사람 때리다,꿀 취한 사람이 방망이로 사람들을 때리고 있어요.,"[2, 2309, 1597, 5782, 4598, 7798, 517, 5660, 1927, 5808, 2584, 1844, 6122, 5782, 3]","[2, 517, 5630, 4598, 7828, 2589, 2267, 6165, 7096, 6079, 2585, 7088, 1844, 6122, 5439, 3868, 6999, 54, 3]"
지하철 반대 건너다 하다,반대편 승차장으로 하려고 합니다.,"[2, 4347, 2208, 881, 5691, 5782, 4932, 3]","[2, 2208, 7720, 2949, 7389, 7185, 517, 7807, 4986, 54, 3]"
가운데 저기 곳 다음,가운데서 지나서 내려주세요.,"[2, 757, 3990, 5561, 1021, 1577, 3]","[2, 757, 6553, 4303, 6553, 1442, 7282, 54, 3]"
그 곳 내리다 맞다,저기서 내려주세요.,"[2, 1185, 1021, 1444, 5782, 1970, 5782, 3]","[2, 3990, 5561, 6553, 1442, 7282, 54, 3]"
