,gloss,spoken,combined
2169,항공 표 받다 곳 ?,발권 카운터는 어디에 있나요?,항공 표 받다 곳 ?발권 카운터는 어디에 있나요?
2174,돈 바꾸다 어디 곳 ?,환전은 어디서 하나요?,돈 바꾸다 어디 곳 ?환전은 어디서 하나요?
2175,돈 바꾸다 곳 어디 ?,환전은 어디서 하나요?,돈 바꾸다 곳 어디 ?환전은 어디서 하나요?
2176,돈 바꾸다 어디 ?,환전은 어디서 하나요?,돈 바꾸다 어디 ?환전은 어디서 하나요?
2177,돈 바꾸다 곳 ?,환전은 어디서 하나요?,돈 바꾸다 곳 ?환전은 어디서 하나요?
2182,주차 2번 어디 곳 ?,제2 주차장은 어디에 있습니까?,주차 2번 어디 곳 ?제2 주차장은 어디에 있습니까?
2183,주차 2번 곳 어디 ?,제2 주차장은 어디에 있습니까?,주차 2번 곳 어디 ?제2 주차장은 어디에 있습니까?
2184,주차 2번 어디 ?,제2 주차장은 어디에 있습니까?,주차 2번 어디 ?제2 주차장은 어디에 있습니까?
2185,주차 2번 곳 ?,제2 주차장은 어디에 있습니까?,주차 2번 곳 ?제2 주차장은 어디에 있습니까?
2186,차 맡기다 어디 곳 ?,주차대행한 차는 어디에서 찾습니까?,차 맡기다 어디 곳 ?주차대행한 차는 어디에서 찾습니까?
2187,차 맡기다 곳 어디 ?,주차대행한 차는 어디에서 찾습니까?,차 맡기다 곳 어디 ?주차대행한 차는 어디에서 찾습니까?
2188,차 맡기다 어디 ?,주차대행한 차는 어디에서 찾습니까?,차 맡기다 어디 ?주차대행한 차는 어디에서 찾습니까?
2189,차 맡기다 곳 ?,주차대행한 차는 어디에서 찾습니까?,차 맡기다 곳 ?주차대행한 차는 어디에서 찾습니까?
2190,버스 어디 곳 ?,시내버스 승강장은 어디에 있습니까?,버스 어디 곳 ?시내버스 승강장은 어디에 있습니까?
2191,버스 곳 어디 ?,시내버스 승강장은 어디에 있습니까?,버스 곳 어디 ?시내버스 승강장은 어디에 있습니까?
2192,버스 어디 ?,시내버스 승강장은 어디에 있습니까?,버스 어디 ?시내버스 승강장은 어디에 있습니까?
2193,버스 곳 ?,시내버스 승강장은 어디에 있습니까?,버스 곳 ?시내버스 승강장은 어디에 있습니까?
2194,지하철 어디 곳 ?,지하철 승강장은 어디에 있습니까?,지하철 어디 곳 ?지하철 승강장은 어디에 있습니까?
2195,지하철 곳 어디 ?,지하철 승강장은 어디에 있습니까?,지하철 곳 어디 ?지하철 승강장은 어디에 있습니까?
2196,지하철 어디 ?,지하철 승강장은 어디에 있습니까?,지하철 어디 ?지하철 승강장은 어디에 있습니까?
2197,지하철 곳 ?,지하철 승강장은 어디에 있습니까?,지하철 곳 ?지하철 승강장은 어디에 있습니까?
2200,항공 지하철 어디 ?,공항철도는 어디서 탈 수 있습니까?,항공 지하철 어디 ?공항철도는 어디서 탈 수 있습니까?
2201,항공 지하철 곳 ?,공항철도는 어디서 탈 수 있습니까?,항공 지하철 곳 ?공항철도는 어디서 탈 수 있습니까?
2202,물 컵 어디 곳 ?,정수기는 어디에 있습니까?,물 컵 어디 곳 ?정수기는 어디에 있습니까?
2203,물 컵 곳 어디 ?,정수기는 어디에 있습니까?,물 컵 곳 어디 ?정수기는 어디에 있습니까?
2204,물 컵 어디 ?,정수기는 어디에 있습니까?,물 컵 어디 ?정수기는 어디에 있습니까?
2205,물 컵 곳 ?,정수기는 어디에 있습니까?,물 컵 곳 ?정수기는 어디에 있습니까?
2210,물건 검사 두다 어디 곳 ?,코인로커가 어디에 있습니까?,물건 검사 두다 어디 곳 ?코인로커가 어디에 있습니까?
2211,물건 검사 두다 곳 어디 ?,코인로커가 어디에 있습니까?,물건 검사 두다 곳 어디 ?코인로커가 어디에 있습니까?
2212,물건 검사 두다 어디 ?,코인로커가 어디에 있습니까?,물건 검사 두다 어디 ?코인로커가 어디에 있습니까?
2213,물건 검사 두다 곳 ?,코인로커가 어디에 있습니까?,물건 검사 두다 곳 ?코인로커가 어디에 있습니까?
2214,약 어디 곳 ?,약국은 어디에 있습니까?,약 어디 곳 ?약국은 어디에 있습니까?
2215,약 곳 어디 ?,약국은 어디에 있습니까?,약 곳 어디 ?약국은 어디에 있습니까?
2216,약 어디 ?,약국은 어디에 있습니까?,약 어디 ?약국은 어디에 있습니까?
2217,약 곳 ?,약국은 어디에 있습니까?,약 곳 ?약국은 어디에 있습니까?
2218,담배 어디 곳 ?,흡연실은 어디에 있습니까?,담배 어디 곳 ?흡연실은 어디에 있습니까?
2219,담배 곳 어디 ?,흡연실은 어디에 있습니까?,담배 곳 어디 ?흡연실은 어디에 있습니까?
2220,담배 어디 ?,흡연실은 어디에 있습니까?,담배 어디 ?흡연실은 어디에 있습니까?
2221,담배 곳 ?,흡연실은 어디에 있습니까?,담배 곳 ?흡연실은 어디에 있습니까?
2222,병원 어디 곳 ?,의무실은 어디에 있습니까?,병원 어디 곳 ?의무실은 어디에 있습니까?
2223,병원 곳 어디 ?,의무실은 어디에 있습니까?,병원 곳 어디 ?의무실은 어디에 있습니까?
2224,병원 어디 ?,의무실은 어디에 있습니까?,병원 어디 ?의무실은 어디에 있습니까?
2225,병원 곳 ?,의무실은 어디에 있습니까?,병원 곳 ?의무실은 어디에 있습니까?
2240,한국 항공 표 어디 ?,대한항공 카운터는 어디에 있습니까?,한국 항공 표 어디 ?대한항공 카운터는 어디에 있습니까?
2241,한국 항공 표 곳 ?,대한항공 카운터는 어디에 있습니까?,한국 항공 표 곳 ?대한항공 카운터는 어디에 있습니까?
2242,항공 가다 검사 어디 곳 ?,탑승수속은 어디에서 하나요?,항공 가다 검사 어디 곳 ?탑승수속은 어디에서 하나요?
2243,항공 가다 검사 곳 어디 ?,탑승수속은 어디에서 하나요?,항공 가다 검사 곳 어디 ?탑승수속은 어디에서 하나요?
2244,항공 가다 검사 어디 ?,탑승수속은 어디에서 하나요?,항공 가다 검사 어디 ?탑승수속은 어디에서 하나요?
2245,항공 가다 검사 곳 ?,탑승수속은 어디에서 하나요?,항공 가다 검사 곳 ?탑승수속은 어디에서 하나요?
2248,표 직접 누르다 어디 ?,셀프체크인은 어디서 가능한가요?,표 직접 누르다 어디 ?셀프체크인은 어디서 가능한가요?
2249,표 직접 누르다 곳 ?,셀프체크인은 어디서 가능한가요?,표 직접 누르다 곳 ?셀프체크인은 어디서 가능한가요?
2252,캐리어 무게 어디 ?,캐리어 무게를 재는 곳은 어디인가요?,캐리어 무게 어디 ?캐리어 무게를 재는 곳은 어디인가요?
2253,캐리어 무게 곳 ?,캐리어 무게를 재는 곳은 어디인가요?,캐리어 무게 곳 ?캐리어 무게를 재는 곳은 어디인가요?
2266,주차 1번 어디 곳 ?,제1 주차장은 어디에 있습니까?,주차 1번 어디 곳 ?제1 주차장은 어디에 있습니까?
2267,주차 1번 곳 어디 ?,제1 주차장은 어디에 있습니까?,주차 1번 곳 어디 ?제1 주차장은 어디에 있습니까?
2268,주차 1번 어디 ?,제1 주차장은 어디에 있습니까?,주차 1번 어디 ?제1 주차장은 어디에 있습니까?
2269,주차 1번 곳 ?,제1 주차장은 어디에 있습니까?,주차 1번 곳 ?제1 주차장은 어디에 있습니까?
2270,택시 어디 곳 ?,택시 승강장은 어디에 있습니까?,택시 어디 곳 ?택시 승강장은 어디에 있습니까?
2271,택시 곳 어디 ?,택시 승강장은 어디에 있습니까?,택시 곳 어디 ?택시 승강장은 어디에 있습니까?
2272,택시 어디 ?,택시 승강장은 어디에 있습니까?,택시 어디 ?택시 승강장은 어디에 있습니까?
2273,택시 곳 ?,택시 승강장은 어디에 있습니까?,택시 곳 ?택시 승강장은 어디에 있습니까?
2280,차 빌리다 어디 ?,렌트카를 빌리는 곳은 어디에 있습니까?,차 빌리다 어디 ?렌트카를 빌리는 곳은 어디에 있습니까?
2281,차 빌리다 곳 ?,렌트카를 빌리는 곳은 어디에 있습니까?,차 빌리다 곳 ?렌트카를 빌리는 곳은 어디에 있습니까?
2282,아기 모유 어디 곳 ?,유아 수유실은 어디에 있습니까?,아기 모유 어디 곳 ?유아 수유실은 어디에 있습니까?
2283,아기 모유 곳 어디 ?,유아 수유실은 어디에 있습니까?,아기 모유 곳 어디 ?유아 수유실은 어디에 있습니까?
2284,아기 모유 어디 ?,유아 수유실은 어디에 있습니까?,아기 모유 어디 ?유아 수유실은 어디에 있습니까?
2285,아기 모유 곳 ?,유아 수유실은 어디에 있습니까?,아기 모유 곳 ?유아 수유실은 어디에 있습니까?
2286,아기 젖병 어디 곳 ?,유아 수유실은 어디에 있습니까?,아기 젖병 어디 곳 ?유아 수유실은 어디에 있습니까?
2287,아기 젖병 곳 어디 ?,유아 수유실은 어디에 있습니까?,아기 젖병 곳 어디 ?유아 수유실은 어디에 있습니까?
2288,아기 젖병 어디 ?,유아 수유실은 어디에 있습니까?,아기 젖병 어디 ?유아 수유실은 어디에 있습니까?
2289,아기 젖병 곳 ?,유아 수유실은 어디에 있습니까?,아기 젖병 곳 ?유아 수유실은 어디에 있습니까?
2290,편지 어디 곳 ?,우체국은 어디에 있습니까?,편지 어디 곳 ?우체국은 어디에 있습니까?
2291,편지 곳 어디 ?,우체국은 어디에 있습니까?,편지 곳 어디 ?우체국은 어디에 있습니까?
2292,편지 어디 ?,우체국은 어디에 있습니까?,편지 어디 ?우체국은 어디에 있습니까?
2293,편지 곳 ?,우체국은 어디에 있습니까?,편지 곳 ?우체국은 어디에 있습니까?
2296,항공 짐 맡기다 어디 ?,수하물보관소가 어디에 있습니까?,항공 짐 맡기다 어디 ?수하물보관소가 어디에 있습니까?
2297,항공 짐 맡기다 곳 ?,수하물보관소가 어디에 있습니까?,항공 짐 맡기다 곳 ?수하물보관소가 어디에 있습니까?
2301,항공 짐 검사 두다 곳 ?,수하물보관소가 어디에 있습니까?,항공 짐 검사 두다 곳 ?수하물보관소가 어디에 있습니까?
2302,책 어디 곳 ?,서점은 어디에 있습니까?,책 어디 곳 ?서점은 어디에 있습니까?
2303,책 곳 어디 ?,서점은 어디에 있습니까?,책 곳 어디 ?서점은 어디에 있습니까?
2304,책 어디 ?,서점은 어디에 있습니까?,책 어디 ?서점은 어디에 있습니까?
2305,책 곳 ?,서점은 어디에 있습니까?,책 곳 ?서점은 어디에 있습니까?
2306,항공 목욕 어디 곳 ?,공항 내 샤워실이 어디에 있나요?,항공 목욕 어디 곳 ?공항 내 샤워실이 어디에 있나요?
2307,항공 목욕 곳 어디 ?,공항 내 샤워실이 어디에 있나요?,항공 목욕 곳 어디 ?공항 내 샤워실이 어디에 있나요?
2308,항공 목욕 어디 ?,공항 내 샤워실이 어디에 있나요?,항공 목욕 어디 ?공항 내 샤워실이 어디에 있나요?
2309,항공 목욕 곳 ?,공항 내 샤워실이 어디에 있나요?,항공 목욕 곳 ?공항 내 샤워실이 어디에 있나요?
2310,커피 어디 곳 ?,커피숍은 어디에 있습니까?,커피 어디 곳 ?커피숍은 어디에 있습니까?
2311,커피 곳 어디 ?,커피숍은 어디에 있습니까?,커피 곳 어디 ?커피숍은 어디에 있습니까?
2312,커피 어디 ?,커피숍은 어디에 있습니까?,커피 어디 ?커피숍은 어디에 있습니까?
2313,커피 곳 ?,커피숍은 어디에 있습니까?,커피 곳 ?커피숍은 어디에 있습니까?
2314,카페 어디 곳 ?,커피숍은 어디에 있습니까?,카페 어디 곳 ?커피숍은 어디에 있습니까?
2315,카페 곳 어디 ?,커피숍은 어디에 있습니까?,카페 곳 어디 ?커피숍은 어디에 있습니까?
2316,카페 어디 ?,커피숍은 어디에 있습니까?,카페 어디 ?커피숍은 어디에 있습니까?
2317,카페 곳 ?,커피숍은 어디에 있습니까?,카페 곳 ?커피숍은 어디에 있습니까?
2318,제주 홍보 어디 곳 ?,제주 홍보관은 어디입니까?,제주 홍보 어디 곳 ?제주 홍보관은 어디입니까?
2319,제주 홍보 곳 어디 ?,제주 홍보관은 어디입니까?,제주 홍보 곳 어디 ?제주 홍보관은 어디입니까?
2320,제주 홍보 어디 ?,제주 홍보관은 어디입니까?,제주 홍보 어디 ?제주 홍보관은 어디입니까?
2321,제주 홍보 곳 ?,제주 홍보관은 어디입니까?,제주 홍보 곳 ?제주 홍보관은 어디입니까?
2322,수레 빌리다 어디 곳 ?,휠체어 대여소가 어디에 있습니까?,수레 빌리다 어디 곳 ?휠체어 대여소가 어디에 있습니까?
2323,수레 빌리다 곳 어디 ?,휠체어 대여소가 어디에 있습니까?,수레 빌리다 곳 어디 ?휠체어 대여소가 어디에 있습니까?
2324,수레 빌리다 어디 ?,휠체어 대여소가 어디에 있습니까?,수레 빌리다 어디 ?휠체어 대여소가 어디에 있습니까?
2325,수레 빌리다 곳 ?,휠체어 대여소가 어디에 있습니까?,수레 빌리다 곳 ?휠체어 대여소가 어디에 있습니까?
2328,휠체어 빌리다 어디 ?,휠체어 대여소가 어디에 있습니까?,휠체어 빌리다 어디 ?휠체어 대여소가 어디에 있습니까?
2329,휠체어 빌리다 곳 ?,휠체어 대여소가 어디에 있습니까?,휠체어 빌리다 곳 ?휠체어 대여소가 어디에 있습니까?
2330,여행 정보 묻다 어디 곳 ?,관광안내소는 어디에 있습니까?,여행 정보 묻다 어디 곳 ?관광안내소는 어디에 있습니까?
2331,여행 정보 묻다 곳 어디 ?,관광안내소는 어디에 있습니까?,여행 정보 묻다 곳 어디 ?관광안내소는 어디에 있습니까?
2332,여행 정보 묻다 어디 ?,관광안내소는 어디에 있습니까?,여행 정보 묻다 어디 ?관광안내소는 어디에 있습니까?
2333,여행 정보 묻다 곳 ?,관광안내소는 어디에 있습니까?,여행 정보 묻다 곳 ?관광안내소는 어디에 있습니까?
2334,한국 먹다 어디 곳 ?,한정식집이 어디에 있습니까?,한국 먹다 어디 곳 ?한정식집이 어디에 있습니까?
2335,한국 먹다 곳 어디 ?,한정식집이 어디에 있습니까?,한국 먹다 곳 어디 ?한정식집이 어디에 있습니까?
2336,한국 먹다 어디 ?,한정식집이 어디에 있습니까?,한국 먹다 어디 ?한정식집이 어디에 있습니까?
2337,한국 먹다 곳 ?,한정식집이 어디에 있습니까?,한국 먹다 곳 ?한정식집이 어디에 있습니까?
2338,일본 먹다 어디 곳 ?,일식집이 어디에 있습니까?,일본 먹다 어디 곳 ?일식집이 어디에 있습니까?
2339,일본 먹다 곳 어디 ?,일식집이 어디에 있습니까?,일본 먹다 곳 어디 ?일식집이 어디에 있습니까?
2340,일본 먹다 어디 ?,일식집이 어디에 있습니까?,일본 먹다 어디 ?일식집이 어디에 있습니까?
2341,일본 먹다 곳 ?,일식집이 어디에 있습니까?,일본 먹다 곳 ?일식집이 어디에 있습니까?
2342,중국 먹다 어디 곳 ?,중식집이 어디에 있습니까?,중국 먹다 어디 곳 ?중식집이 어디에 있습니까?
2343,중국 먹다 곳 어디 ?,중식집이 어디에 있습니까?,중국 먹다 곳 어디 ?중식집이 어디에 있습니까?
2344,중국 먹다 어디 ?,중식집이 어디에 있습니까?,중국 먹다 어디 ?중식집이 어디에 있습니까?
2345,중국 먹다 곳 ?,중식집이 어디에 있습니까?,중국 먹다 곳 ?중식집이 어디에 있습니까?
2346,햄버거 어디 곳 ?,패스트푸드는 어디에 있습니까?,햄버거 어디 곳 ?패스트푸드는 어디에 있습니까?
2347,햄버거 곳 어디 ?,패스트푸드는 어디에 있습니까?,햄버거 곳 어디 ?패스트푸드는 어디에 있습니까?
2348,햄버거 어디 ?,패스트푸드는 어디에 있습니까?,햄버거 어디 ?패스트푸드는 어디에 있습니까?
2349,햄버거 곳 ?,패스트푸드는 어디에 있습니까?,햄버거 곳 ?패스트푸드는 어디에 있습니까?
2350,빵 집 어디 곳 ?,빵집이 어디에 있습니까,빵 집 어디 곳 ?빵집이 어디에 있습니까
2351,빵 집 곳 어디 ?,빵집이 어디에 있습니까,빵 집 곳 어디 ?빵집이 어디에 있습니까
2352,빵 집 어디 ?,빵집이 어디에 있습니까,빵 집 어디 ?빵집이 어디에 있습니까
2353,빵 집 곳 ?,빵집이 어디에 있습니까,빵 집 곳 ?빵집이 어디에 있습니까
2356,호텔 항공 가깝다 어디 ?,공항 주변에 호텔은 어디있나요?,호텔 항공 가깝다 어디 ?공항 주변에 호텔은 어디있나요?
2357,호텔 항공 가깝다 곳 ?,공항 주변에 호텔은 어디있나요?,호텔 항공 가깝다 곳 ?공항 주변에 호텔은 어디있나요?
2365,항공 쉬다 서비스 곳 ?,항공사 라운지는 어디에 있습니까?,항공 쉬다 서비스 곳 ?항공사 라운지는 어디에 있습니까?
2368,세금 되돌리다 돈받다 어디 ?,세금환급을 어디서 받나요?,세금 되돌리다 돈받다 어디 ?세금환급을 어디서 받나요?
2369,세금 되돌리다 돈받다 곳 ?,세금환급을 어디서 받나요?,세금 되돌리다 돈받다 곳 ?세금환급을 어디서 받나요?
2378,세금 공짜 어디 곳 ?,면세점은 어디에 있습니까?,세금 공짜 어디 곳 ?면세점은 어디에 있습니까?
2379,세금 공짜 곳 어디 ?,면세점은 어디에 있습니까?,세금 공짜 곳 어디 ?면세점은 어디에 있습니까?
2380,세금 공짜 어디 ?,면세점은 어디에 있습니까?,세금 공짜 어디 ?면세점은 어디에 있습니까?
2381,세금 공짜 곳 ?,면세점은 어디에 있습니까?,세금 공짜 곳 ?면세점은 어디에 있습니까?
2386,지방 버스 어디 곳 ?,시외버스 승강장은 어디에 있습니까?,지방 버스 어디 곳 ?시외버스 승강장은 어디에 있습니까?
2387,지방 버스 곳 어디 ?,시외버스 승강장은 어디에 있습니까?,지방 버스 곳 어디 ?시외버스 승강장은 어디에 있습니까?
2388,지방 버스 어디 ?,시외버스 승강장은 어디에 있습니까?,지방 버스 어디 ?시외버스 승강장은 어디에 있습니까?
2389,지방 버스 곳 ?,시외버스 승강장은 어디에 있습니까?,지방 버스 곳 ?시외버스 승강장은 어디에 있습니까?
2390,서울 기차 장소 가다 방법 ?,서울역까지 어떻게 가나요?,서울 기차 장소 가다 방법 ?서울역까지 어떻게 가나요?
2391,인천 항공 장소 가다 방법 ?,인천공항으로 어떻게 가나요?,인천 항공 장소 가다 방법 ?인천공항으로 어떻게 가나요?
2393,주차 미리 돈주다 가능 ?,주차요금을 정산할 수 있나요?,주차 미리 돈주다 가능 ?주차요금을 정산할 수 있나요?
2396,비행기 취소 가능 ?,비행기를 취소 할 수 있을까요?,비행기 취소 가능 ?비행기를 취소 할 수 있을까요?
2402,비자 책 없다 방법 ?,여권이 없습니다. 어떻게 하나요?,비자 책 없다 방법 ?여권이 없습니다. 어떻게 하나요?
2456,안녕,안녕하세요.,안녕안녕하세요.
2457,만나다 반갑다,만나서 반갑습니다.,만나다 반갑다만나서 반갑습니다.
2458,공항 방문 감사,김포공항을 이용해 주셔서 감사합니다.,공항 방문 감사김포공항을 이용해 주셔서 감사합니다.
2461,수어 느리다 부탁,수어를 천천히 해주시기 바랍니다.,수어 느리다 부탁수어를 천천히 해주시기 바랍니다.
2462,다시 수어 부탁,다시 한 번 수어를 해주시기 바랍니다.,다시 수어 부탁다시 한 번 수어를 해주시기 바랍니다.
2463,확인 중,확인 중입니다.,확인 중확인 중입니다.
2464,정보 찾다 중,정보를 찾고있습니다.,정보 찾다 중정보를 찾고있습니다.
2465,미안 정보 찾다 없다,정보를 찾을 수 없습니다.,미안 정보 찾다 없다정보를 찾을 수 없습니다.
2468,궁금 또 있다 ?,더 궁금하신 점은 없으신가요?,궁금 또 있다 ?더 궁금하신 점은 없으신가요?
2469,다음 또 오다 부탁,다음에 또 이용해 주세요.,다음 또 오다 부탁다음에 또 이용해 주세요.
2470,여행 편안 반갑다 부탁,즐거운 여행 되시길 바랍니다.,여행 편안 반갑다 부탁즐거운 여행 되시길 바랍니다.
2471,잠깐 기다리다 부탁,잠시만 기다려 주세요.,잠깐 기다리다 부탁잠시만 기다려 주세요.
2472,미안,죄송합니다.,미안죄송합니다.
2473,감사,감사합니다.,감사감사합니다.
2474,알다,네. 알겠습니다.,알다네. 알겠습니다.
2475,맞다,네. 맞습니다.,맞다네. 맞습니다.
2476,아니다,아니요.,아니다아니요.
2477,모르다,모르겠습니다.,모르다모르겠습니다.
2478,틀리다,틀립니다.,틀리다틀립니다.
2479,괜찮다,괜찮습니다.,괜찮다괜찮습니다.
2480,항공 ?,항공사 카운터는 어디에 있습니까?,항공 ?항공사 카운터는 어디에 있습니까?
2481,발권 ?,발권 카운터는 어디에 있나요?,발권 ?발권 카운터는 어디에 있나요?
2482,탑승 ?,탑승수속은 어디에서 하나요?,탑승 ?탑승수속은 어디에서 하나요?
2483,유실물 ?,유실물 센터는 어디에 있습니까?,유실물 ?유실물 센터는 어디에 있습니까?
2484,지하철 ?,지하철 승강장은 어디에 있습니까?,지하철 ?지하철 승강장은 어디에 있습니까?
2485,버스 ?,버스 승강장은 어디에 있나요?,버스 ?버스 승강장은 어디에 있나요?
2486,서울역 ?,서울역에 어떻게 갈 수 있나요?,서울역 ?서울역에 어떻게 갈 수 있나요?
2487,로밍 ?,로밍센터는 어디에 있습니까?,로밍 ?로밍센터는 어디에 있습니까?
2488,환전 ?,환전은 어디서 하나요?,환전 ?환전은 어디서 하나요?
2489,수화물 ?,수하물을 분실하였습니다. 어떻게 하나요?,수화물 ?수하물을 분실하였습니다. 어떻게 하나요?
2490,와이파이 ?,와이파이 신청이 가능한가요?,와이파이 ?와이파이 신청이 가능한가요?
2491,쉽다,쉽다,쉽다쉽다
2492,제일 쉽다 무엇 공부,공부가 가장 쉬웠어요,제일 쉽다 무엇 공부공부가 가장 쉬웠어요
2493,모두 일 쉽다 아니다,모든 일이 쉽게 이루어지지 않는다,모두 일 쉽다 아니다모든 일이 쉽게 이루어지지 않는다
2494,일 편하다 생각 하지마,쉽게 일 할 생각하지 마라,일 편하다 생각 하지마쉽게 일 할 생각하지 마라
2495,문제 쉽다,문제가 쉬웠어요,문제 쉽다문제가 쉬웠어요
2496,쓰다 저장 기억 가능,메모해야 기억하기 쉽다,쓰다 저장 기억 가능메모해야 기억하기 쉽다
2497,시작,시작,시작시작
2498,지금 시작 해라,지금부터 시작해라,지금 시작 해라지금부터 시작해라
2499,시작,준비 시작!,시작준비 시작!
2500,2016 새롭다 날 시작,"2016년, 새해가 시작된다","2016 새롭다 날 시작2016년, 새해가 시작된다"
2501,수업 시작,수업 시작했어,수업 시작수업 시작했어
2502,빨리 시작,빨리 시작하자,빨리 시작빨리 시작하자
2503,싫다,싫다,싫다싫다
2504,남자 만나다 싫다,그 남자를 만나기 싫어,남자 만나다 싫다그 남자를 만나기 싫어
2505,거짓말 싫다,거짓말이 싫어요,거짓말 싫다거짓말이 싫어요
2506,간섭 싫다,날 간섭하는 것이 싫다,간섭 싫다날 간섭하는 것이 싫다
2507,싫다 무엇 야채,내가 싫어하는 음식은 야채다,싫다 무엇 야채내가 싫어하는 음식은 야채다
2508,나 너 싫다,나는 네가 싫어,나 너 싫다나는 네가 싫어
2509,심심하다,심심하다,심심하다심심하다
2510,방학 시작 심심하다,방학이 시작했는데 심심하다,방학 시작 심심하다방학이 시작했는데 심심하다
2511,방학 시작 심심하다,입이 심심하다,방학 시작 심심하다입이 심심하다
2512,심심하다 무엇 ?,심심할때 무엇을 하면 좋을까?,심심하다 무엇 ?심심할때 무엇을 하면 좋을까?
2513,친구 심심하다 시간 나 부르다,친구는 심심하면 나를 부른다,친구 심심하다 시간 나 부르다친구는 심심하면 나를 부른다
2514,심심하다,너무 심심해,심심하다너무 심심해
2515,아프다,아프다,아프다아프다
2516,마음 아프다,마음이 아프다,마음 아프다마음이 아프다
2517,몸 병 아프다,몸이 아프다,몸 병 아프다몸이 아프다
2518,배 아프다,배가 아파서 병원에 갔다,배 아프다배가 아파서 병원에 갔다
2519,아프다 원인 병원 입원,아파서 병원에 입원했다,아프다 원인 병원 입원아파서 병원에 입원했다
2520,할머니 아프다,할머니가 편찮으셔,할머니 아프다할머니가 편찮으셔
2521,시험 어렵다,시험이 어려웠다,시험 어렵다시험이 어려웠다
2522,문제 너무 어렵다,문제가 너무 어려웠다,문제 너무 어렵다문제가 너무 어려웠다
2523,길 찾다 어렵다,길찾기가 어렵다,길 찾다 어렵다길찾기가 어렵다
2524,일 어렵다,일이 어려워요,일 어렵다일이 어려워요
2526,움직이다,움직이다,움직이다움직이다
2527,어렵다,어렵다,어렵다어렵다
2529,움직이다 빠르다,빨리 움직여,움직이다 빠르다빨리 움직여
2530,저기 움직이다 하지마 위험,"위험해, 움직이지마","저기 움직이다 하지마 위험위험해, 움직이지마"
2531,지금 움직이다 괜찮다 ?,이제 움직여도 됩니까?,지금 움직이다 괜찮다 ?이제 움직여도 됩니까?
2532,손 들다 움직이다 쏘다,꼼짝말고 손들어 움직이면 쏜다,손 들다 움직이다 쏘다꼼짝말고 손들어 움직이면 쏜다
2533,위로,위로,위로위로
2534,힘들다 위로 힘,힘들때 위로 받으면 힘난다,힘들다 위로 힘힘들때 위로 받으면 힘난다
2535,오늘 사랑 깨지다 위로 부탁,오늘 헤어졌는데 위로해줘,오늘 사랑 깨지다 위로 부탁오늘 헤어졌는데 위로해줘
2536,힘들다 위로 원하다,너무 힘들어서 위로 받고 싶다,힘들다 위로 원하다너무 힘들어서 위로 받고 싶다
2537,위로 필요하다 ?,위로해줄까?,위로 필요하다 ?위로해줄까?
2538,위로 필요 같다,위로할 필요가 있을것 같아,위로 필요 같다위로할 필요가 있을것 같아
2539,위하다,위하다,위하다위하다
2540,너 위하다 준비 끝,너를 위해 준비했어,너 위하다 준비 끝너를 위해 준비했어
2541,미래 위해 미리 준비 필요하다,미래를 위해 준비해야 한다,미래 위해 미리 준비 필요하다미래를 위해 준비해야 한다
2544,건강 위하다 운동 필요,건강을 위해 운동해야 한다,건강 위하다 운동 필요건강을 위해 운동해야 한다
2545,잊다,잊다,잊다잊다
2546,숙제 잊다,숙제가 무엇인지 잊어버렸다,숙제 잊다숙제가 무엇인지 잊어버렸다
2547,기억 없다 낯설다,얼굴을 잊어서 누군지 몰랐다,기억 없다 낯설다얼굴을 잊어서 누군지 몰랐다
2548,잊다 미안,잊어서 미안해,잊다 미안잊어서 미안해
2549,사랑 사람 잊다 쉽다 어렵다,사랑했던 사람을 잊는건 어렵다,사랑 사람 잊다 쉽다 어렵다사랑했던 사람을 잊는건 어렵다
2550,언니 생일 잊다,언니의 생일을 잊었다,언니 생일 잊다언니의 생일을 잊었다
2551,자유,자유,자유자유
2552,나 자유 느끼다 원하다,자유를 느끼고 싶다,나 자유 느끼다 원하다자유를 느끼고 싶다
2553,나 여행 자유 원하다,자유롭게 여행을 다니고 싶다,나 여행 자유 원하다자유롭게 여행을 다니고 싶다
2554,나 자유 돌아다니다 원하다,자유롭게 돌아다니고 싶다,나 자유 돌아다니다 원하다자유롭게 돌아다니고 싶다
2555,자유 못하다 가두다 답답하다,자유롭지 못해 답답하다,자유 못하다 가두다 답답하다자유롭지 못해 답답하다
2556,자유 살다,자유를 누리다,자유 살다자유를 누리다
2557,중요,중요,중요중요
2558,사람 관계 중요,인간관계는 중요하다,사람 관계 중요인간관계는 중요하다
2559,중요 잊다 하지마,중요하니깐 잊지마,중요 잊다 하지마중요하니깐 잊지마
2560,시간 지키다 철저하다 중요,시간을 지키는 것은 중요하다,시간 지키다 철저하다 중요시간을 지키는 것은 중요하다
2562,약속 지키다 중요,약속을 지키는 것은 중요하다,약속 지키다 중요약속을 지키는 것은 중요하다
2563,찾다,찾다,찾다찾다
2564,돈 잃어버리다 찾다 중에,돈을 잃어버려서 찾고 있어,돈 잃어버리다 찾다 중에돈을 잃어버려서 찾고 있어
2565,찾다 무엇 ?,뭘 찾아?,찾다 무엇 ?뭘 찾아?
2566,볼펜 찾다 중에,볼펜을 찾고 있어,볼펜 찾다 중에볼펜을 찾고 있어
