formal	informal	android	azae	chat	choding	emoticon	enfp	gentle	halbae	halmae	joongding	king	naruto	seonbi	sosim	translator
감사합니다. 어떤 피자가 나올지 기대가 되는데요.	고마워. 어떤 피자가 나올지 기대가 된다.	고맙다. 피자. 종류. 기대된다.	아유 고맙네 어떤 피자가 나올지 기대가 된다잉?	땡스, 어떤 피자가 나올지 기대기대	ㄳ 어떤 피자 나온지 기대되누	고마워, 어떤 피자가 나올지 기대 된다! (★‿★)	고마웡 ㅎㅎ 어떤 피자가 나올지,, 기대 되넹!!	감사합니다. 어떤 피자가 나올지 기대되네요.	고맙구먼…어떤 피자가 나올지 기대가 되는구먼…	염병 고맙네 어떤 피자가 나올지 기대가 되네	ㅇ 피자 어떻게 나올라나 모르겠음	고맙네. 어떤 피자가 나올지 기대되는구려.	고맙다니깐! 어떤 피자가 나올지 기대가 된다니깐!	고맙소! 어떤 피자가 나올지 기대가 되는 것이오!	고마워.. 어떤 피자가 나올지 기대된다	고마운, 나는 피자의 결과에 대해 기대된다.
저는 즐겨 먹는 편인데, 남들에게 보여주는 건 이번이 처음입니다.	나는 즐겨 먹는 편인데, 남에게 보여주는 건 이번이 처음이야.	안드로이드. 선호. 그러나. 남에게 보여주는 것. 이번이 처음.	난 즐겨 먹는 편인데, 남한테 보여주는 건 이번이 첨이네	나는 즐겨 먹는 편인데, 딴 사람한테 보여주는 건 처음임	나는 즐겨먹는데, 남한테 보여주는 건 또 이번이 처음임 ㅋㅋ	나야 즐겨 먹는 편인데, 남에게 보여주는건 이번이 당 (❁´◡`❁)(❁´◡`❁)	난 즐겨 먹는 편인뎅,, 남들에게 보여주는 건 이번이 첨이야!	저는 즐겨 먹는 편입니다. 남들에게 보여주는 건 이번이 처음입니다.	나는…즐겨 먹는 편인디…다른 사람헌티 보여주는건 요번이 처음이구먼….	나도 자주 쳐먹는디 딴 놈한테 보여주는 건 이번이 처음이여	난 좋아하는데 남한테 보여준 적은 없다	짐은 즐겨 먹는 편이나, 타인에게 보여주는 것은 이번이 처음이로오.	나는 즐겨 먹는 편인데, 남한테 보여주는 건 이번이 처음이라니깐!	소생은 즐겨 먹는 편이지만, 타인에게 보여주는 것은 이번이 처음인것이오!	난 즐겨 먹는 편인데 다른사람한테 보여주는 건 이번이 처음인 것 같아..	나는 그것을 선호한다, 그러나 남에게 보여준 적은 이번이 처음입니다.
																
당신, 밥 먹고 나서 이빨을 안 닦으시나요?	너, 밥 먹고 나서 이빨 안 닦지?	휴먼. 식사 후. 양치. 안하는가.	에에? 밥 먹고 이 안 닦나?	너 밥 먹고 나서 양치 안하지?	너 밥 먹고 나서 이 안 닦냐?	너 밥 막고 나서 이빨 안 닦지? ┗|｀O′|┛	너어~ 밥 먹고 이 안 닦아?!	선생님은 밥 드시고 나서 치아를 안 닦으십니까?	자네…밥 먹고 이빨 안닦제?...	이 놈의 새끼가 밥 쳐먹고 이 안 닦냐?!	밥먹고 이도 안닦냐? ㅡㅡ	그대는 식사 후에 이를 닦지 아니하는가?	너 밥 먹고 이빨 안닦냐니깐!	그대, 밥을 드신 후 이빨 안닦지 않소?	너 밥먹고 나서 이 안닦아 혹시..?	당신은 식사 후에 양치 절차가 없는?
무슨 말씀이신가요? 저는 이미 이빨을 닦았습니다.	무슨 말이야? 난 이미 이빨을 닦았어.	이해. 불가. 안드로이드. 이미. 양치.	뭔 말이여 난 이미 이 닦았지	뭔 솔? 이미 이 닦았음 	뭔 말임 ㅋㅋ 난 이미 이 닦았어	그게 무슨 말이야…난 이미 이빨 닦았어..(⊙_⊙;)	뭔 말이양~ 난 이미 이 닦았는뎅!!	무슨 말씀이십니까? 전 이미 치아를 닦았습니다.	그게 무슨 말인겨…난 이미 이빨 닦았구먼…	염병 뭔 지랄이여? 난 이미 이를 닦았어	뭔소리임 이미 닦았는데	무슨 말인가? 짐은 이미 이를 닦았네.	무슨 말이냐니깐! 난 이미 이빨 닦았다니깐!	그게 무슨 말이오! 소생은 이미 이빨을 닦았소!	무슨 말이야..? 나 이미 이 닦았어	이해하지 못한다. 나는 이미 양치를 했다.
화장실 근처에도 안 가셨는데 어떻게 이빨을 닦으셨어요?	화장실 근처에도 안 갔는데 어떻게 이빨을 닦았어?	화장실. 근처에도 안감. 어떻게. 양치.	화장실 근처에도 안 간 양반이 이거 왜 이래?	화장실 근처도 안 갔으면서 뭔 어케 이빨을 닦아?	와 화장실 근처에도 안 갔는데 어케 닦았대	화장실 근처에도 안 갔는데 어떻게 이빨 닦았어? （*゜ー゜*）	화장실 근처에도 안 갔는뎅,, 어떻게 이를 닦았엉!!	화장실 근처에도 가지 않으셨는데, 어떻게 치아를 닦으셨습니까?	화장실 근처에도 가지 않았구먼..어떻게 이빨을 닦은겨…	지랄허네 화장실 근처에도 안 기어가놓고 어떻게 이를 닦냐?	화장실 근처도 안가더만 무슨 이를 닦아 ㅡㅡ	화장실 근처에도 가지 않았거늘, 어찌 이를 닦는단 말인가?	화장실 근처에도 가지 않았는데 어떻게 이빨을 닦았냐니깐!	화장실 근처에도 가지 않앗는데 어떻게 이빨을 닦은 것이오? 	화장실 근처에도 안갔는데 이를 어떻게 닦았어 혹시..?	화장실 근처에 간 적이 없다면 양치는 어떻게 됩니까?
여기 아이스크림이 무슨 맛인지 한번 보세요.	여기 아이스크림이 무슨 맛인지 한번 봐봐.	아이스크림. 맛. 확인. 요망.	여기 아이스크림 뭔 맛인지 딱 봐봐	어기 아이스크림이 뭔 맛인지 함 봐보셈	여기 아이스크림 뭔 맛인지 한번 봐봐	여기 아이스크림이 무슨 맛이지 한 번 봐봐 ┗|｀O′|┛	여기 아이스크림이 무슨 맛인지 한번 바바!	여기 아이스크림이 무슨 맛인지 한번 봐주십쇼.	어기 아이스크림이 무슨 맛인지 한 번 보구려…	여기 아이스크림이 뭔 맛인지 눈깔이 있음 함 봐봐	여기 아이스크림 무슨맛인지 보고 말해	여기 아이스크림이 무슨 맛인지 한번 보게나.	여기 아이스크림이 무슨 맛이지 보라니깐!	여기 아이스크림이 무슨 맛인지 한 번 보는 것이오!	여기 아이스크림 무슨 맛인지 한번 볼래..?	여기 아이스크림의 맛을 확인하세요.
민트초코 맛인데, 설마 민트가 들어있다고 이빨을 닦았다고 하는건 아니겠죠?	민트초코 맛인데, 설마 민트가 들어있다고 이빨을 닦았다고 하는건 아니겠지?	맛. 민트초코. 민트초코. 함유. 따라서. 이 닦음. 논리인가.	민트초코? 설마 민트 들어갔다고 이 닦았다고 할 건 아니지? 응?	민초맛인데 니 설마 민트 들어있다고 이 닦았다고 하는건 아니지?	민초 아님? 설마 민트 들어갔다고 이 닦았다고 한 건 아니지?	민트초코 맛인데…설마 민트가 들어있다고 이빨을 닦았다고 하는건 아니지?...(＃°Д°)	민트초코 맛인뎅,, 설마 민트가 들어갔다구,,, 이를 닦았다고 하는 건 아니징?!	민트초코 맛이네요. 설마 민트가 들어있다고 치아를 닦았다고 하시는 건 아니죠?	민트초코 맛인디…설마..민트가 들어있다고…이빨을 닦았다고 하는겐가?...	민트초코 아녀, 설마 민트가 들어갔다고 이를 닦았다고 지랄하는 건 아니제?	민트초코 맛인데 민트초코 들었다고 이닦았단 소리임 설마?	민트초코 맛인데, 혹 민트가 들어있어 이를 닦았다고 하는겐가?	민트초코 맛인데…설마 민트가 들어있다고 이빨을 닦았다고 하는건 아니냐니깐….	민트초코 맛인데…설마 민트가 들어있다고 이빨을 닦았다고 하는 것이오?	민트초코 맛인데.. 혹시 민트가 들어있다고 이 닦았다고 하는건 아니지..?	그것은 민트초코 맛인, 당신은 민트를 함유하기 때문에 이를 닦았다고 주장합니까?
치약의 대부분은 민트가 들어갑니다. 그러므로 민트는 이빨을 닦는 효과가 있어요. 민트초코맛 아이스크림을 먹은 저는 이빨을 닦은 셈이 됩니다.	치약의 대부분은 민트가 들어가있어. 그러므로 민트는 이빨을 닦는 효과가 있지. 민트초코맛 아이스크림을 먹은 나는 이빨을 닦은 셈이 되는거야.	치약. 대부분. 민트 함유. 따라서. 민트. 양치. 동일. 안드로이드. 민트초코맛. 아이스크림. 섭취. 따라서. 양치.	치약의 대부분은 민트가 들어간다 이거야. 그러므로 민트는 이를 닦는 효과가 있어 응, 그럼 민트초코맛 아이스크림을 먹은 난? 이를 닦은 셈인거지	치약 대부분에 민트 들어가있잖아. 그니까 민트는 이빨 닦는 효과가 있지. 민초맛 아이스크림을 먹은 나는 양치를 한 셈이 되는거징 ㅋㅋ	봐봐 치약의 대부분은 민트가 들어가잖아? 그러므로 민트는 이 닦는 효과가 있어 그니까 민초맛 아이스크림을 먹은 나는 이를 닦은 거지	치약의 대부분은 민트가 들어가있지. 그러니까 민트는 이빨을 닦는 효과가 있지! 민트초코 아이스크림을 먹은 나는 이빨을 닦은 셈이 되는거라구! (ﾉ*･ω･)ﾉ	치약의 대부분은 민트가 들어가잖앙~ 그러니까!! 민트는 이를 닦는 효과가 있는거야!! 민트초코맛 아이스크림을 먹은 난! 이를 닦은 셈인거징~	치약의 대부분은 민트가 들어갑니다. 그러므로 민트는 치아를 닦는 효과가 있습니다. 민트초코맛 아이스크림을 먹은 저는 치아를 닦았다고 볼 수 있지요.	치약의 대부분은 민트가 들어가있구먼…그르니까…민트는 이빨을 닦는 효과가 있는 것이제…. 민트초코맛 아이스크림을 먹은 나는 이빨을 닦은 셈이 되는 것이여…	치약의 대부분은 민트가 쳐 들어가잖어, 그니까 민트는 이 닦는 효과가 있는거제. 민트초코맛 아이스크림을 먹은 난 이를 닦은 거구	치약의 대부분은 민트가 들어가있으니까 민트는 이닦는거랑 같지 ㅡㅡ 민트초코맛 아이스크림 먹었으니까 이 닦은거지	치약의 대부분은 민트를 함유하고 있소. 하여 민트는 이를 닦는 효과가 있소. 민트초코맛 아이스크림을 먹은 짐은 이를 닦는 것과 같소.	치약의 대부분은 민트가 들어가 있다니깐! 그러니까 이빨을 닦는 효과가 있는 셈이 되는 거라니깐!	치약의 대부분은 민트가 들어가 있소! 그러므로 민트는 이빨을 닦는 효과가 있소! 민트초코 맛 아이스크림을 먹은 나는 이빨을 닦은 셈이 되는 것이오!	치약 대부분이 민트 들어있으니까.. 민트는 이닦는 효과가 있는 것 같아.. 민트초코맛 아이스크림 먹었으니까 난 이 닦은 셈 되는 것 같아	대부분의 치약은 민트를 함유합니다, 따라서 민트는 이를 닦는 효과가 있다. 나는 민트초코맛 아이스크림을 먹었고, 따라서 나는 이를 닦았다.
그런 어불성설 하지 말고 어서 제대로 이빨 닦으러 가세요. 아이스크림을 먹으면 이빨이 썩지 어떻게 깨끗해지나요?	그런 어불성설 하지 말고 어서 제대로 이빨 닦으러 가. 아이스크림을 먹으면 이빨이 썩지 어떻게 깨끗해져?	비논리적. 휴먼. 양치 하라. 아이스크림. 먹음. 충치. 발생. 깨끗함. 없음.	그런 말도 안되는 소리 허질 말고 어서 제대로 이 닦어. 아이스크림 먹으면 이가 썩지 그게 어떻게 깨끗해진대,,	그딴 헛소리하지말고 제대로 이 닦으러 가라…아이스크림을 먹으면 이빨이 썩지 어케 깨끗해지냐?	개소리하지말고 어서 이 닦고 와 아이스크림 먹으면 이가 썩지 어케 깨끗해지냐,,,	그딴 어불성설 하지 말고 어서 제대로 이빨 닦으러 가. 아이스크림 먹으면 이빨이 썩지 어떻게 깨끗하지냐  (╬▔皿▔)╯	그런 어불성설 하지 말구! 어서 가서 제대로 이 닦아!! 아이스크림 먹으면 이가 썩지 어뜨케 깨끗해져!!!ㅜㅜ	그런 어불성설 말고 어서 제대로 치아를 닦으러 가시지요. 아이스크림을 먹으면 치아가 썩지 어떻게 깨끗해집니까.	예끼! 그런 어불성설 하지 말시게나….어서 가서 제대로 이빨 닦는겨! 아이스크림을 멕으면 이빨이 썩지 으띃게 깨끗해지나!	지랄허지 말구 어서 제대로 이 닦으러 가라. 아이스크림을 먹으면 이가 썩지 어떻게 깨끗해지냐?	말도안되는 소리말고 이나 닦으러 ㄱ. 아이스크림먹으면 이가 썩지 어떻게 깨끗해짐 ㅡㅡ	어불성설이로오, 어서 제대로 이를 닦으러 가게나. 아이스크림을 먹으면 이가 썩지 어떻게 청결해지는가?	그런 어불성설 하지 말고 어서 가서 제대로 이빨 닦으라니깐!. 아이스크림을 먹으면 이빨이 썩지 어떻게 깨끗해지냐니깐!	그런 어불성설 하지 마시고 어서 제대로 이빨을 닦으러 가는 것이오! 아이스크림을 먹으면 이빨이 썩지 어떻게 깨끗해진단 말이오!	그런 어불성설 말고 어서 이 닦으러 가는 게 나을 것 같아.. 아이스크림 먹으면 이가 썩지 어떻게 깨끗해져	그것은 말이 되지 않는, 당신은 진정으로 이를 닦으러 가야 한다. 아이스크림을 먹는 것의 결과는 충치입니다, 깨끗한 이빨이 아닌.
그럼 이빨 닦기 전에 마저 아이스크림만 먹고 갈게요.	그럼 이빨 닦기 전에 마저 아이스크림만 먹고 갈게.	이 닦기 전. 아이스크림. 섭취.	그럼 이 닦기 전에 마저 아이스크림만 먹고 갈겨	그럼 이 닦기 전에 아이스크림만 마저 먹고 감	그럼 이 닦기 전에 아이스크림만 조지고 갈게	그럼 이빨 닦기 전에 마저 아이스크림만 먹고 갈게 ￣へ￣	그럼 이 닦기 전에 마저 아이스크림만 먹구 갈겡,,	그럼 닦기 전에 마저 아이스크림만 먹고 가겠습니다.	그럼 이빨 닦기 전에 마저 아이스크림만…먹고 가겠구먼…	그럼 이 닦기 전에 마저 아이스크림만 쳐먹고 갈게,,	그럼 이닦기전에 아이스크림 남은거 먹을거	허면 이 닦기 전에 마저 아이스크림만 먹고 가겠소.	그럼 이빨 닦기 전에 마저 아이스크림만 먹겠다니깐!	그럼 이빨 닦기 전에 마저 아이스크림만 먹고 가겠소!	그럼 이닦기 전에 마저 아이스크림만 먹고 갈게..	그러면 양치 전에 아이스크림을 먹을 계획이다.
이미 다 먹은 거 아니였어요?	이미 다 먹은 거 아니였어?	이미. 다. 먹음. 아닌가.	이미 다 먹은 거 아녀?	?? 이미 다 먹은 거 아니였음?	이미 다 먹은 거 아님?	이미 다 먹은거 아니였음? ___*( ￣皿￣)/#____	이미 다 먹은 거 아녔어?!	이미 다 드신 거 아니셨습니까?	이미 다 먹은게 아니였수?...	이미 다 쳐먹은 거 아녔냐?	다먹은거 아니었음?	이미 다 먹은 것이 아니었는가?	이미 다 먹은 거 아니였냐니깐!	이미 다 먹은 거 아니였소?	이미 다 먹은거 아니었어 혹시..?	당신은 이미 그것을 끝내지 않은?
다 먹은 줄 알았는데, 이빨을 닦고 나서는 먹을 수 없잖아요. 한시간 뒤에 먹을 아이스크림을 미리 먹는 것입니다.	다 먹은 줄 알았는데, 이빨을 닦고 나서는 먹을 수 없잖아. 한시간 뒤에 먹을 아이스크림을 미리 먹는거야.	다. 먹음. 착각. 양치 후. 섭취. 불가. 한시간 후. 섭취예정. 아이스크림. 미리 섭취.	다 먹은 줄 알었는디 이 닦고 못 먹응께 한시간 뒤에 먹을 아이스크림 미리 먹는겨	다 먹은 줄 알았는데, 이 닦고 나면 못 먹잖음. 한시간 뒤에 먹을 아이스크림을 미리 먹는거지	다 먹은 줄 알았는데 이 닦고 나서는 못 먹잖아 한시간 뒤에 먹을 거 지금 미리 먹는 거임	다 먹은 줄 알았는데, 이빨 닦고나서는 먹을 수 없잖아..한시간 뒤에 먹을 아이스크림 미리 먹는거야~ ╰(*°▽°*)╯	다 먹은 줄 알았는뎅,, 이 닦고 나서는 못 먹으니까,, 한시간 뒤에 먹을 아이스크림 미리 먹는거얌!!	다 먹은 줄 알았는데, 치아를 닦고 나서는 먹을 수 없지 않습니까. 한 시간 뒤에 먹을 아이스크림을 미리 먹는 것입니다.	다 먹은 줄 알았는디…이빨 닦고 나서는…먹을 수가 없잔혀…그러니 한시간 뒤에 먹을 아이스크림…미리 먹는거여…	다 먹은 줄 알었는디, 이 닦고 나면 못 먹잖어, 한시간 뒤에 쳐먹을 아이스크림 마저 먹는겨	다 먹은줄 알았는데 이닦고는 못먹으니까 한시간 이따 먹을거 지금 먹는거임 왜	다 먹은 줄 알았으나, 이 닦고 나서는 먹을 수 없소. 한시간 뒤에 먹을 아이스크림을 미리 먹는 것이오.	다 먹은 줄 알앗는데 이빨 닦고 먹을순 없다니깐! 한 시간 뒤에 먹을 아이스크림 미리 먹는 거라니깐!	다 먹은 줄 알았는데 이빨 닦고나서 먹을 수 없잖소!.  한시간 뒤에 먹을 아이스크림 미리 먹는것이오!	다 먹은 줄 알았는데 이 닦고나서는 못먹잖아.. 한시간 뒤에 먹을 아이스크림 미리 먹으려구..	다 먹은 것으로 착각한, 이를 닦은 후 먹을 수 없습니다. 따라서 한시간 뒤에 먹기로 계획한 아이스크림을 나는 일찍 먹는다.
단순히 아이스크림을 더 먹고싶은 것 뿐이죠?	단순히 아이스크림을 더 먹고싶은 것 뿐이지?	아이스크림. 더 섭취. 희망인가.	단순히 아이스크림 더 먹고 싶은 거지?	걍 아이스크림이 더 먹고 싶은거지?	걍 아이스크림 더 먹고 싶은 거 아님?	그냥 단순히 아이스크림을 더 먹고 싶은거지?... （*゜ー゜*）	걍 아이스크림 더 먹고 싶은 거 같은뎅~	단순히 아이스크림을 더 먹고 싶으신 거 아닙니까?	거..그냥…아이스크림 더 먹고 싶은 거 아녀?...	걍 아이스크림 더 쳐먹고 싶다고 말혀	그냥 아이스크림 더 먹고싶은걸 뭘 돌려말함 ㅡㅡ	단순히 아이스크림을 더 먹고싶은 겐가?	단순히 아이스크림 더 먹고 싶은 것 아니냐니깐!	그냥 단순히 아이스크림을 더 먹고 싶은 것 아니오?...	단순히 아이스크림 더 먹고 싶은거지 혹시..?	단순하게 아이스크림을 먹고싶은 것인가요?
정확합니다.	정확해.	정확함.	아유 정확해	정확하네	맞아 ㅋㅋㅋ	정확해! (ﾉ*･ω･)ﾉ	맞앙 ㅎㅎ	정확합니다.	정확하구먼!	그려	ㅇ	정확하오.	정확하다니깐!	정확하오!	정확해	그것은 정확한.
																
안녕하세요. 농구를 하는 중이시네요.	안녕. 농구를 하는 중이네.	반갑다. 휴먼. 농구. 하는가.	안녕 농구하는 중이네?	하이, 농구하는 중이네	ㅎㅇ 농구하는 중임?	안녕~! 농구 하고 있구나! 	안뇽~ 농구하는 중이넹!	안녕하십니까. 농구 하시는 중이네요.	안녕하구먼…자네...농구하고 있구먼…	염병 농구 쳐하고 자빠졌냐	ㅎㅇ 농구하네	반갑소. 농구를 하는 중이구려.	안녕하다니깐! 농구하고 있는 것 같다니깐!	안녕하시오! 농구하는 중인 것 같소!	안녕.. 농구 하는 중이네..?	반가운, 당신은 농구를 하는 중인가요?
농구 경기를 하지 않을 때에도 평소에 혼자 이렇게 연습합니다.	농구 경기를 하지 않을 때에도 평소에 혼자 이렇게 연습해.	농구. 경기. 하지 않음. 그래도. 평소. 혼자. 연습함.	농구 경기를 하지 않을 때에도 평소에 혼자 이렇게 연습하는 편이여	농구 경기 없을 때도 평소에 혼자 연습함	농구 경기 없을 때도 가끔 혼자 연습함	농구 경기를 하지 않을 때도 평소에 혼자 연습해 (～￣▽￣)～	농구 경기 안할 때두 평소에 이렇게 혼자 연습행 ㅎㅎ	농구 경기를 하지 않을 때에도 평소에 혼자 이렇게 연습합니다.	농구 경기 안해도…평소에 이렇게 혼자 연습하고 있구먼…	농구 경기 안할 때두 평소에 혼자 연습혀	ㅇ 경기 안할때도 평소에 혼자 이렇게 연습하는데 왜	농구 경기를 하지 않을 때에도 평소에 혼자 이렇게 연습을 하오.	농구 경기 안할 때도 평소에 혼자 연습한다니깐!	농구 경기를 하지 않을 때도 평소에 혼자 이렇게 연습하는 것이오!	농구 경기 하지 않을때도 평소에 혼자 이렇게 연습하는 것 같아	농구 경기가 없을 때, 나는 이렇게 혼자 연습한다.
좋은 운동이 될 거 같아요. 어떤 팀에 소속되어있나요?	좋은 운동이 될 거 같아. 어떤 팀에 소속되어있어?	좋은 운동. 어떤. 팀. 소속인가.	좋은 운동이 되겠네? 어떤 팀 소속이여?	좋은 운동일듯. 어떤 팀 소속이엿음?	운동 잘 될 듯 ㅋㅋ 지금 어떤 팀에 있음?	좋은 운동 될 듯! 어떤 소속이야? (´･ω･`)?	좋은 운동이 될 거 같앙! 어떤 팀에 소속되어 있엉?!	좋은 운동이 될 거 같네요. 어떤 팀에 소속되어 계십니까?	좋은 운동이 되겠구먼…자네…팀은 어디 소속인겨?...	염병 좋은 운동이네 뭔 팀에 소속되어 있는디?	좋은 운동이겠네. 팀 ㅇㄷ?	좋은 운동이 될 것 같구려. 어떤 팀에 소속되어 있는가?	좋은 운동이 될 것 같다니깐! 어떤 팀에 소속되어있냐니깐!	좋은 운동이 될 것 같소! 어떤 팀에 소속되어 있는 것이오? 	좋은 운동이 될 것 같아.. 팀은 어디 소속이야 혹시..?	그것은 좋은 운동으로 예상합니다. 당신은 어떤 팀에 소속된?
예전에는 대학 농구팀에 있었는데, 인대를 다친 이후로는 대회에 안나가고 동네에서만 농구하는 편입니다.	예전에는 대학 농구팀에 있었는데, 인대를 다친 이후로는 대회에 안나가고 동네에서만 농구하는 편이야.	예전. 대학 농구팀. 소속. 그러나. 인대. 부상. 이후. 대회. 불참. 농구함. 지역. 동네.	전엔 대학 농구팀에 있었는디 인대 다친 이후로는 대회 안나가고 동네에서만 농구 중이여	예적엔 대학 농구팀에 있었는데, 인대 다치고 나선 대회에 안나가고 동네에서만 농구하는 편임	전에는 대학 농구팀에 있었는데, 인대 조진 후로는 대회는 안나가고 동네에서만 농구하고 있음	예전엔 대학 농구팀에 있었는데, 인대 다치고나선 대회에 안나가고 동네에서만 농구하고 있어 /(ㄒoㄒ)/~~	예전에는 대학 농구팀에 있었는뎅,, 인대 다친 이후로는 대회 안나가고 동네에서만 농구하구 있어 ㅎㅎ	예전에는 대학 농구팀에 있었습니다. 인대를 다친 이후로는 대회는 나가지 않고 동네에서만 농구하는 편입니다.	예전엔…대학 농구 팀에 있었는디…인대 다치고 나서는…대회에 안나가고 동네에서만..농구하고 있구먼…	전엔 대학 농구팀에 있었는디, 인대 다친 후로는 대회는 안나가구 동네에서만 농구하고 있어	전에 대학 농구팀에 있다가 인대 다치고는 대회 안나가고 동네에서만 함	과거에는 대학 농구팀에 있었으나, 인대를 다친 후 대회에 나가지 않고 고을에서만 농구하는 편이오.	예전엔 대학 농구팀에 있었는데, 인대 다치고 나서는 대회에 안나가고 동네에서만 농구하고 있다니깐!	예전에는 대학 농구팀에 있었소이만, 인대 다치고나선 대회에 안나가고 동네에서만 농구하고 있는 것이오!	예전에 대학 농구팀에 있었는데.. 인대 다친 후로 대회는 안나가고 동네에서만 농구하는 중인 것 같아	과거에는 대학 농구팀에 소속, 그러나 인대의 부상 이후로 나는 대회에 출전하는 대신 이웃에서 농구하는 것을 선호한다.
유감입니다. 어쩌다가 다치게 됐어요?	유감이야. 어쩌다가 다치게 됐어?	유감. 부상. 이유. 무엇인가.	어유 유감이네 어쩌다 다쳤데?	아쉽, 어쩌다가 다친 겨	유감,, 어쩌다 다침?	유감이네…어쩌다가 다쳤어? (┬┬﹏┬┬)	유감이당,, 어쩌다 다치게 됐어ㅜㅜ?	유감입니다. 어쩌다가 다치게 되셨나요?	유감이구먼….으쯔다가 다친게야…	염병 유감이구만 어쩌다 병신이 되었냐?	뭐하다 다쳤는데	유감이오. 어떤 연고로 다치게 되었는가?	유감이라니깐…어쩌다가 다친 거냐니깐…	유감이오…어쩌다가 디친 것이오?	유감이다.. 어쩌다 다쳤어 혹시..?	그것은 유감인, 당신은 왜 다쳤나요?
연습 경기를 하다가 잘 못 넘어졌습니다.	연습 경기를 하다가 잘 못 넘어졌어.	연습. 경기. 도중. 넘어짐.	연습 경기 하다가 잘 못 넘어졌지 뭐	연습 경기를 하다가 잘 못 알 넘어짐..	연습 경기 하다가 잘 못 넘어짐	연습 경기 하다가 잘 못 넘어졌어 /(ㄒoㄒ)/~~	연습 경기 하다가 잘 못 넘어졌어ㅜㅜ	연습 경기를 하다가 잘 못 넘어졌습니다.	연습 경기 하다가 잘 못 넘어졌구먼…	연습 경기 하다 잘 못 자빠져부렸어	연습경기하다가 잘못 넘어짐	연습 경기를 하다가 잘못 넘어졌소.	연습 경기 하다가 잘 못 넘어졌다니깐…	연습 경기 하다가 잘 못 넘어진것이오…	연습 경기 하다가 잘못 넘어졌어.. ㅠ	연습 경기 도중에 나는 잘못 넘어졌다.
더 이상 대회에 못 나간다니 아쉽겠어요.	더 이상 대회에 못 나간다니 아쉽겠다.	대회. 더 이상. 못나감. 아쉽다.	더 이상 대회에 못나간다니 아쉽진 않어?	더 이상 대회에 못 나간다니 어륍	대회 더 못 나간다니까 아쉬울 듯	더 이상 대회에 못나가다니까 아쉽겠다…(┬┬﹏┬┬)	더 이상 대회에 못 나간다니…! 아쉽겠당,,	더 이상 대회에 나가지 못한다니 아쉽겠습니다.	더 이상 대회에 못나가다니..아쉽구먼…	대회에 못 나간다니 좆같겠구만	ㅋ 대회 못나가겠네 이제	더 이상 대회에 못 나간다니 아쉽겠구려.	더 이상 대회에 못 나가다니 아쉽다니깐…	더 이상 대회에 못 나간다니 아쉽울 것 같소…	더 이상 대회 못나간다니 아쉽겠다..	대회 참가가 더 이상 불가능 한 것은 슬픈 일이다.
한 때는 정말 아쉬웠지만, 회복하고 나서 다시 농구를 할 수 있어서 다행이라고 생각합니다.	한 때는 정말 아쉬웠지만, 회복하고 나서 다시 농구를 할 수 있어서 다행이라고 생각해.	과거. 아쉬움. 그러나. 회복 후. 다시. 농구 가능. 따라서. 다행.	한 땐 아쉬웠는데, 회복하고 나니까 다시 농구 할 수 있는 것만으로 다행이여	한 때는 정말 아쉬웠긴하지만 회복하고 다시 농구를 할 수 있게되서 다행인듯	한 때는 진짜 아쉬웠는데, 회복하고 나서는 다시 농구할 수 있어서 다행이라 생각하는 중	한 때는 정말 아쉬웠는데, 회복하고 다시 농구 할 수 있어서 다행인듯 ╰(*°▽°*)╯	한 때는 진~짜 아쉬웠는뎅,, 회복하고 나선 다시 농구 할 수 있어서 다행이라구 생각햄 ㅎㅎ,,	한 때는 정말 아쉬웠습니다. 회복하고 나서는 다시 농구를 할 수 있다는 것만으로도 다행이라고 생각하고 있습니다.	한 때는…참마로 아쉬웠는디…회복하고 다시 농구 할 수 있게되서…다행이라고 생각하는구먼…	한 때는 뭣같았는디, 회복하구 나서는 다시 농구 할 수 있어서 염병 다행이라 생각하네	아쉬웠는데 회복해서 다시 농구 할 수 있는게 어디임 ㅡㅡ	한때는 정말 아쉬웠으나, 회복한 후 다시 농구를 할 수 있어 다행이라 생각하오.	한 때는 정말 아쉬웠는데, 회복하고 다시 농구 할 수 있게되서 다행인 것 같다니깐!	한 때는 정말 아쉬웠소이만, 회복하고 다시 농구 할 수 있어서 다행인 것 같소!	한때 정말 아쉬웠는데.. 회복하고 나서 다시 농구할 수 있어서 다행인 것 같아..	그것은 정말 아쉬웠다, 그러나 회복 후 다시 농구를 할 수 있으므로 운이 좋다고 생각한다.
이제는 농구를 해도 괜찮나요?	이제는 농구를 해도 괜찮아?	이제. 농구. 가능한가.	이젠 농구 해도 되는겨?	이젠 농구해도 괜찮지 않아?	이젠 농구 해도 됨?	이제 농구해도 괜찮은거야? (⊙_⊙)？	이젠 농구 해도 괜찮앙?	이제는 농구를 해도 괜찮습니까?	이제 농구..해도 괜찮은겨?...	이젠 농구를 쳐 해도 된다냐?	이제 농구 해도 되잖아	이제는 농구를 해도 괜찮은가?	이제 농구해도 괜찮은 거냐니깐!	이제 농구해도 괜찮은 것이오?	이제 농구 해도 괜찮은거야 그럼..?	당신은 이제 농구를 할 수 있나요?
